Country Name,Country Code,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN] - 2016 [YR2016]",Access to electricity (% of population) [EG.ELC.ACCS.ZS] - 2016 [YR2016],Adjusted net national income (current US$) [NY.ADJ.NNTY.CD] - 2016 [YR2016],Children out of school (% of primary school age) [SE.PRM.UNER.ZS] - 2016 [YR2016],Expenditure on primary education (% of government expenditure on education) [SE.XPD.PRIM.ZS] - 2016 [YR2016],Public private partnerships investment in water and sanitation (current US$) [IE.PPN.WATR.CD] - 2016 [YR2016],"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) [SH.STA.WASH.P5] - 2016 [YR2016]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS] - 2016 [YR2016]",Population growth (annual %) [SP.POP.GROW] - 2016 [YR2016],"Population, total [SP.POP.TOTL] - 2016 [YR2016]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS] - 2016 [YR2016]","Secondary education, duration (years) [SE.SEC.DURS] - 2016 [YR2016]","Secondary education, teachers [SE.SEC.TCHR] - 2016 [YR2016]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS] - 2016 [YR2016],"Current health expenditure per capita, PPP (current international $) [SH.XPD.CHEX.PP.CD] - 2016 [YR2016]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS] - 2016 [YR2016]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS] - 2016 [YR2016]",Rural population (% of total population) [SP.RUR.TOTL.ZS] - 2016 [YR2016],"Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT] - 2016 [YR2016]","GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD] - 2016 [YR2016]",Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2] - 2016 [YR2016],Individuals using the Internet (% of population) [IT.NET.USER.ZS] - 2016 [YR2016]
IBRD only,IBD,72.95836486,95.94586687,NA,3.1875,NA,NA,6.808392695,88.5859,0.94575161,4687686335,94.92823,NA,22600000,5.547414023,682.3197352,NA,NA,46.21763526,29.48938578,13024.41508,104.7117345,43.91361957
IDA & IBRD total,IBT,70.61943318,86.01040897,NA,9.03008,NA,NA,13.82124085,83.71072,1.272108191,6256138021,87.59809,NA,27400000,5.459548267,552.4268885,NA,NA,50.65040068,47.33632509,10670.36045,96.98731926,37.5202087
IDA blend,IDB,61.6994536,66.91896004,8.30543E+11,25.05616,NA,NA,39.61353149,66.23999,2.30430642,531399044,75.107,NA,1873810,3.870958126,192.2536825,NA,NA,58.5402987,72.62883648,5150.050762,76.1344357,20.80293408
IDA only,IDX,64.616877,50.88284551,9.51264E+11,16.96389,NA,NA,32.33930246,64.74183,2.23761774,1037052642,71.84764,NA,2882979,4.700011564,129.8634134,NA,NA,66.67256616,92.09778251,2907.21289,72.45243207,16.93567254
IDA total,IDA,63.62848404,56.31595895,1.78654E+12,19.59713,NA,NA,34.80659352,65.25168,2.260202448,1568451686,72.92838,NA,NA,4.289083978,152.0105311,NA,NA,63.91412031,85.70359501,3677.349383,73.70156664,18.24760825
Late-demographic dividend,LTE,75.74518596,99.21545441,1.44238E+13,2.60956,NA,1461770000,0.753578314,95.86127,0.624099888,2262158994,93.33469,NA,11700000,5.785833107,943.1791751,NA,NA,39.29120458,21.33685606,16687.2175,109.8938456,56.75187195
Latin America & Caribbean,LCN,75.11995716,97.56821018,4.4842E+12,3.30395,NA,NA,1.666678406,93.591,1.00388013,629240066,99.09733,NA,3918988,8.560364574,1277.168061,8.324866774,17.92205997,19.89842638,64.08009251,15676.1576,109.8798854,57.35461427
Latin America & Caribbean (excluding high income),LAC,74.92203333,97.46181433,4.08231E+12,3.14562,NA,NA,1.722627139,92.97116,1.011548336,597399287,99.32617,NA,3732489,8.592545336,1244.144757,8.436841955,18.05431766,20.10109636,64.73229828,15157.64546,108.9177327,56.38747414
Latin America & the Caribbean (IDA & IBRD countries),TLA,75.02873523,97.51135332,4.32247E+12,3.18136,NA,NA,1.680652712,93.46904,1.03816039,613258172,99.28281,NA,3810520,8.497534463,1254.107077,8.301186134,17.9099285,19.89493855,64.41353275,15588.82394,111.3187212,57.52467638
Least developed countries: UN classification,LDC,64.34577144,47.19761246,8.0266E+11,17.40488,NA,NA,34.34608809,63.42245,2.377984729,963511276,70.02098,NA,2483431,4.313684681,121.1089944,NA,NA,67.48148483,95.5620088,2713.752665,67.58211069,15.06093524
Low & middle income,LMY,70.55541384,85.71126479,NA,9.04078,NA,NA,13.89874672,83.52819,1.277097208,6227752871,87.57806,NA,27100000,5.419869267,541.1196229,NA,NA,50.7514304,47.30683033,10477.80628,96.1107591,37.1359991
Low income,LIC,62.98932635,39.94138218,4.18535E+11,17.92044,NA,NA,40.4606078,61.93147,2.557705666,670117389,66.43989,NA,1747553,5.37527957,93.19950598,NA,NA,68.29834873,99.04845242,2069.587981,58.09438616,13.08290863
Lower middle income,LMC,68.07456289,84.10505566,5.20525E+12,9.87412,NA,NA,19.18331215,76.25343,1.441391633,2939830821,90.28852,NA,11300000,3.956582625,262.1140688,NA,NA,60.42681294,43.85118607,6726.788424,94.22854763,26.0708924
Middle East & North Africa,MEA,73.71082025,97.56965099,2.66353E+12,5.03233,NA,NA,2.15814077,77.93316,1.826082307,433597626,91.91429,NA,2408661,5.587538321,1287.686506,10.04070071,26.5321763,35.28045249,40.24269905,19734.6496,108.5206058,48.49469226
Middle East & North Africa (excluding high income),MNA,73.1982111,97.15403578,1.21604E+12,5.63293,NA,NA,2.511969561,74.84724,1.731135786,370276461,89.60272,NA,1891740,6.132532205,904.7033217,11.99650227,27.70417602,39.05831535,44.09890258,13315.92368,99.90024304,43.21821218
Middle East & North Africa (IDA & IBRD countries),TMN,73.19354707,97.12006951,1.20789E+12,5.65192,NA,NA,2.511969561,74.60233,1.724720841,365909373,89.47528,NA,1854407,6.132532205,904.7033217,11.80922261,27.42471889,39.2335949,43.94097382,13416.98424,100.151069,42.99068822
Middle income,MIC,71.46773664,91.23006895,NA,7.22106,NA,NA,10.69233609,85.65752,1.124843891,5557635482,91.31099,NA,25400000,5.420470294,588.1457075,NA,NA,48.63500175,38.79651393,11499.11393,100.6671182,39.90992924
North America,NAC,78.9016844,100,1.72276E+13,0.33357,NA,NA,0.220106578,NA,0.767035346,359245384,98.74839,NA,1826468,16.58004702,9351.852668,5.100956483,10.67767808,18.19123,20.37352578,56608.44707,118.70435,86.11499711
Not classified,INX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OECD members,OED,80.08656321,99.95214989,3.97983E+13,1.2545,NA,NA,0.379640452,NA,0.646676362,1288747101,98.26986,NA,7980800,12.58844621,5040.76468,6.323831346,13.97759553,19.79949788,21.12760459,42363.11071,117.1112648,80.71077102
Other small states,OSS,67.8356294,74.035317,2.90977E+11,13.31086,NA,NA,16.19518389,83.93278,2.051928177,29542879,84.1077,NA,148567.2,4.831484793,1161.224889,NA,NA,38.88200963,62.47311307,25856.97695,122.252726,46.29104983
Pacific island small states,PSS,69.61374193,81.54713287,7969661690,10.94612,NA,NA,5.232261326,90.97831,1.385379628,2388307,98.71352,NA,12016.04,5.262596029,278.3427232,NA,NA,61.70926426,50.17629672,5837.406155,86.73343508,30.23606451
Post-demographic dividend,PST,80.55424512,99.99637323,3.78483E+13,1.17854,NA,NA,0.317216124,NA,0.452749085,1101992071,97.99439,NA,6672017,13.00476925,5691.538958,6.445032158,14.78875551,19.07955568,13.39717628,45105.72331,121.6110497,83.20461215
Pre-demographic dividend,PRE,59.99193712,45.8852881,9.81865E+11,22.35592,NA,NA,48.51548462,61.03961,2.859509643,869943914,67.92278,NA,2434242,4.237314274,145.9505871,NA,NA,59.8631618,111.0213908,3868.058929,69.00012819,16.5090307
Small states,SST,68.96046273,78.87752243,3.55089E+11,12.25206,NA,NA,12.74710943,85.77091,1.748963895,39200572,86.36897,NA,196373.9,5.036158338,1068.343273,NA,NA,42.1664142,59.9061826,22722.405,119.0962168,46.56373052
South Asia,SAS,68.91615144,86.58279721,2.60085E+12,7.35646,NA,NA,17.82264346,70.99924,1.243278484,1771167194,91.82644,NA,5999163,3.553336092,217.3307807,NA,NA,66.85367491,28.1174953,6097.716106,83.64235764,20.23984948
South Asia (IDA & IBRD),TSA,68.91615144,86.58279721,2.60085E+12,7.35646,NA,NA,17.82264346,70.99924,1.243278484,1771167194,91.82644,NA,5999163,3.553336092,217.3307807,NA,NA,66.85367491,28.1174953,6097.716106,83.64235764,20.23984948
Sub-Saharan Africa,SSF,60.44238734,44.80871483,NA,19.90556,NA,NA,47.1711815,64.78863,2.719155404,1022526541,68.20217,NA,2774811,5.153784872,197.9983145,NA,NA,60.88383539,104.5758405,3802.332525,73.58199252,19.34122243
Sub-Saharan Africa (excluding high income),SSA,60.44110322,44.80360413,NA,19.90651,NA,NA,47.17553102,64.78476,2.719284222,1022431864,68.19977,NA,2774173,5.154916822,197.9105525,NA,NA,60.88538318,104.5783017,3800.122516,73.57402803,19.33774262
Sub-Saharan Africa (IDA & IBRD countries),TSS,60.44238734,44.80871483,NA,19.90556,NA,NA,47.1711815,64.78863,2.719155404,1022526541,68.20217,NA,2774811,5.153784872,197.9983145,NA,NA,60.88383539,104.5758405,3802.332525,73.58199252,19.34122243
Upper middle income,UMC,75.278622,99.23172775,NA,3.06999,NA,NA,1.163645617,95.01176,0.771703233,2617804661,92.99683,NA,14100000,5.854861679,964.4965408,NA,NA,35.38344101,30.97681357,16845.85279,107.7923229,55.224542
World,WLD,72.18217105,87.97685631,NA,8.19655,NA,NA,11.759091,85.89491,1.165512803,7426103221,88.73469,NA,34300000,10.02319596,1355.604848,NA,NA,45.6303548,43.36176436,16343.23061,100.704432,44.70369974
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/28/2019,,,,,,,,,,,,,,,,,,,,,,,
