Country Name,Country Code,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN] - 2016 [YR2016]",Access to electricity (% of population) [EG.ELC.ACCS.ZS] - 2016 [YR2016],Adjusted net national income (current US$) [NY.ADJ.NNTY.CD] - 2016 [YR2016],Children out of school (% of primary school age) [SE.PRM.UNER.ZS] - 2016 [YR2016],Expenditure on primary education (% of government expenditure on education) [SE.XPD.PRIM.ZS] - 2016 [YR2016],Public private partnerships investment in water and sanitation (current US$) [IE.PPN.WATR.CD] - 2016 [YR2016],"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) [SH.STA.WASH.P5] - 2016 [YR2016]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS] - 2016 [YR2016]",Population growth (annual %) [SP.POP.GROW] - 2016 [YR2016],"Population, total [SP.POP.TOTL] - 2016 [YR2016]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS] - 2016 [YR2016]","Secondary education, duration (years) [SE.SEC.DURS] - 2016 [YR2016]","Secondary education, teachers [SE.SEC.TCHR] - 2016 [YR2016]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS] - 2016 [YR2016],"Current health expenditure per capita, PPP (current international $) [SH.XPD.CHEX.PP.CD] - 2016 [YR2016]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS] - 2016 [YR2016]","Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS] - 2016 [YR2016]",Rural population (% of total population) [SP.RUR.TOTL.ZS] - 2016 [YR2016],"Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT] - 2016 [YR2016]","GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD] - 2016 [YR2016]",Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2] - 2016 [YR2016],Individuals using the Internet (% of population) [IT.NET.USER.ZS] - 2016 [YR2016]
France,FRA,82.52439024,100,2.07634E+12,0.1672,20.73777,NA,0.3,NA,0.399244807,66859768,NA,7,NA,11.53929503,4782.288549,10.05679989,24.61610031,20.083,5.1112,42047.28724,104.4897355,79.26981132
French Polynesia,PYF,77.024,100,NA,NA,NA,NA,NA,NA,0.529854316,274575,NA,NA,NA,NA,NA,NA,NA,38.266,39.1822,NA,102.0162069,68.44041949
Gabon,GAB,65.418,91.05812836,10014470002,NA,NA,NA,20.6,NA,3.043395155,2007873,NA,7,NA,3.11291313,555.6279022,NA,NA,11.441,98.2148,17839.8973,147.543495,48.05227375
"Gambia, The",GMB,61.166,54.74732208,1003229372,22.34824,NA,NA,29.7,NA,2.988605658,2149139,69.27261,6,NA,4.43153755,74.31114618,NA,NA,40.082,80.7266,1558.69557,132.0589763,18.5
Georgia,GEO,73.207,100,12131152826,2.04718,NA,NA,0.2,NA,0.059816599,3727505,115.434,6,36886,8.43609722,797.1759528,16.60390091,36.03310013,42.163,47.456,9993.515121,137.7647586,58.45928961
Germany,DEU,80.9902439,100,2.94778E+12,0.4924,12.92094,NA,0.6,NA,0.807218539,82348669,97.9372,9,588926.5,11.13916763,5463.330652,4.121799946,7.051000118,22.776,8.0886,49921.33062,125.8854564,84.16520664
Ghana,GHA,63.124,79.3,37410079421,NA,NA,NA,18.8,NA,2.246599268,28481946,NA,6,147969,4.44871433,189.3748859,NA,NA,45.251,67.644,4135.645001,134.4889824,34.66600065
Gibraltar,GIB,NA,100,NA,0.29809,NA,NA,NA,NA,0.002964149,33737,94.68085,4,125,NA,NA,NA,NA,0,NA,NA,121.9314106,94.44447158
Greece,GRC,81.38780488,100,1.61778E+11,1.5167,NA,NA,0.1,NA,-0.415913028,10775971,97.33734,6,78827,8.45429347,2261.15653,23.53910065,47.30479813,21.613,7.4862,27273.93458,118.122548,69.08791547
Greenland,GRL,NA,100,NA,NA,NA,NA,NA,NA,0.128227978,56186,NA,NA,NA,NA,NA,NA,NA,13.674,NA,NA,NA,68.50087368
Grenada,GRD,72.408,93.65990448,NA,NA,56.7574,NA,0.3,NA,0.602203221,110261,NA,5,773,5.24666501,745.1027805,NA,NA,63.928,30.4132,13844.14347,107.9012525,55.85640782
Guam,GUM,79.391,100,NA,NA,NA,NA,NA,NA,0.676102623,162951,NA,NA,NA,NA,NA,5.400000095,NA,5.383,33.11,NA,NA,77.00999989
Guatemala,GTM,73.541,91.92584229,57952923909,12.70308,55.46525,NA,6.3,NA,2.013931786,16583060,79.13231,6,98419,5.82031093,462.405855,2.582999945,5.692900181,49.681,72.4582,7955.320011,110.1395181,34.50932609
Guinea,GIN,60.17,33.5,6624936655,21.91268,40.52155,NA,44.6,NA,2.644487343,11738441,59.66737,7,NA,5.47827339,107.7236555,NA,NA,64.54,137.4098,2167.247349,94.64639604,9.8
Guinea-Bissau,GNB,57.328,23.19525909,992025235.5,NA,NA,NA,35.3,NA,2.570575611,1782437,NA,6,NA,6.09011769,97.97199975,NA,NA,57.467,105.4184,1648.438332,72.13911508,3.761413832
Guyana,GUY,69.454,89.60477448,2922700350,NA,NA,NA,3.6,NA,0.511309291,771366,NA,5,NA,4.24328719,332.6745536,NA,NA,73.518,76.118,7864.890612,75.79508095,35.66
Haiti,HTI,62.896,40.4,7483162505,NA,NA,NA,23.8,61.69135,1.341320934,10839970,NA,7,NA,5.38571841,95.4432869,NA,NA,46.604,52.854,1787.159285,60.0002583,12.23260161
Honduras,HND,74.701,91.6,18685539188,18.83383,NA,NA,3.6,88.98748,1.717638855,9270795,80.47022,6,44956,8.40196647,400.3364097,6.727099895,12.60060024,44.187,74.3484,4683.126696,84.48900013,29.5
"Hong Kong SAR, China",HKG,84.22682927,100,NA,1.78979,21.33549,NA,NA,NA,0.619366345,7336600,104.1517,6,30063,NA,NA,3.390000105,9.760000229,0,2.7682,58755.30806,242.7675438,87.47941467
Hungary,HUN,76.06341463,100,1.01651E+11,2.23319,16.21778,NA,0.2,NA,-0.295110605,9814023,98.59476,8,80741,7.36479381,1963.16263,5.114900112,12.92560005,29.221,23.2462,26851.62497,102.0406696,79.25941213
Iceland,ISL,82.20487805,100,16835345159,0.45629,27.93969,NA,0.1,NA,1.388081496,335439,NA,7,NA,8.29151473,4245.108988,2.977900028,6.511799812,6.265,6.8872,52582.29385,120.8927593,98.2400163
India,IND,68.897,89.64585876,1.99267E+12,NA,NA,NA,18.6,NA,1.08988008,1324509589,96.2307,7,4638710,3.65833057,241.4830553,NA,NA,66.818,16.152,6634.844635,85.14868348,22
Indonesia,IDN,71.035,97.62,7.34093E+11,6.37853,NA,NA,7.1,95.37697,1.219765616,261554226,NA,6,1674317,3.12449094,362.7219413,4.300700188,15.82079983,46.011,47.9942,11604.52525,147.4150225,25.4473537
"Iran, Islamic Rep.",IRN,76.047,100,3.24442E+11,0.2153,28.85249,NA,1,85.54425,1.356248244,79564016,100.2644,6,305644,8.10277065,1563.751678,12.43000031,29.15999985,26.12,39.4222,20150.32226,101.2018754,53.22677167
Iraq,IRQ,70.122,99.98625183,1.36698E+11,NA,NA,NA,3,NA,2.877254128,36610632,NA,6,NA,3.31216318,NA,10.81999969,22.67000008,29.906,73.285,17828.39349,91.35870695,21.23
Ireland,IRL,81.70487805,100,1.76154E+11,0.01164,37.31684,NA,0.1,NA,1.128834064,4755335,NA,5,NA,7.37830423,5299.653967,8.373900414,16.80019951,37.263,8.1676,70522.22592,103.8191107,85.01113212
Isle of Man,IMN,NA,100,NA,NA,NA,NA,NA,NA,0.063655637,83287,NA,NA,NA,NA,NA,2.667321205,NA,47.657,NA,NA,NA,NA
Israel,ISR,82.40731707,100,2.74591E+11,0.32171,38.91034,NA,0.2,NA,1.960348962,8546000,103.5788,6,NA,7.31441124,2843.044007,4.797999859,8.630999565,7.744,9.9942,37513.39164,130.3492361,79.65312418
Italy,ITA,83.24390244,100,1.53761E+12,2.0465,23.94555,NA,0.1,NA,-0.169884073,60627498,97.74971,8,456891,8.93549301,3427.306466,11.6882,37.76900101,30.145,5.3708,39045.16817,141.6939815,61.32425277
Jamaica,JAM,74.175,98.48193359,12306697926,13.30002,35.87399,NA,0.6,NA,0.524973438,2906238,85.9205,5,11974,6.0723917,535.6645833,13.19180012,31.81340027,44.902,54.3564,8761.976598,112.4252814,44.36685637
Japan,JPN,83.98487805,100,4.00198E+12,NA,NA,NA,0.2,NA,-0.115284177,126994511,NA,6,638414,10.92612327,4592.428208,3.099999905,5.099999905,8.543,3.9198,41118.07804,130.5952482,93.18272128
Jordan,JOR,74.184,100,34870579736,23.12796,42.53879,NA,0.6,NA,3.028091537,9551467,72.06589,6,NA,5.46821058,494.7536463,15.27499962,NA,9.494,26.3184,8983.166342,102.7648325,62.30219257
Kazakhstan,KAZ,72.3,100,1.01385E+11,0.1952,NA,NA,0.4,NA,1.42204614,17794055,110.2986,7,252152,3.52614962,858.76985,4.960000038,NA,42.736,30.062,25314.86554,143.2053265,74.58772647
Kenya,KEN,65.393,65.4,59832959727,NA,NA,NA,51.2,NA,2.421143197,49051686,99.67874,6,NA,4.54957525,143.5442376,2.757400036,7.355400085,73.895,77.293,3121.830489,79.47190398,16.6
Kiribati,KIR,67.577,93.73774719,331294662.9,1.76038,NA,NA,16.7,NA,1.426716047,112524,100.8696,7,NA,11.85986702,249.8413143,NA,NA,47.55,17.1684,2210.850719,46.21236358,13.7
"Korea, Dem. People’s Rep.",PRK,71.711,41.71841049,NA,NA,NA,NA,1.4,NA,0.490819484,25307744,NA,6,NA,NA,NA,NA,NA,38.529,0.2882,NA,14.24864759,NA
"Korea, Rep.",KOR,82.27560976,100,1.14896E+12,NA,NA,NA,1.8,NA,0.451318044,51245707,98.01557,6,233461,7.33752488,2711.738257,3.700000048,10.69999981,18.438,1.4564,37142.8329,120.2263275,92.84302568
Kosovo,XKX,71.64634146,100,NA,NA,NA,NA,NA,NA,0.796024104,1816200,NA,NA,NA,NA,NA,27.46999931,52.36000061,NA,NA,10211.51289,NA,NA
Kuwait,KWT,75.224,100,1.04501E+11,2.70151,NA,NA,0.1,NA,3.113053701,3956873,100.579,7,42121,3.903945,2899.260238,2.160000086,15.43000031,0,8.4444,75689.27575,193.571063,78.36738376
Kyrgyz Republic,KGZ,70.95121951,99.99534607,5245983644,0.37281,NA,NA,0.8,NA,2.037224422,6079500,101.7859,7,66932,6.62528772,240.2266108,7.210000038,15.53999996,64.056,35.014,3567.812684,125.3393872,37
Lao PDR,LAO,66.924,90.81182098,11999376764,5.99015,NA,NA,11.3,NA,1.540943466,6845846,99.73227,7,36260,2.36087478,154.6294593,NA,NA,66.264,65.8612,6473.230549,57.82353269,21.87
Latvia,LVA,74.5804878,100,21596815892,1.7373,32.01818,NA,0.1,NA,-0.913885332,1959537,98.0601,6,14369,6.24292955,1589.692045,9.642900467,17.28590012,31.979,15.9946,25839.91236,134.240928,79.84209778
Lebanon,LBN,78.8,100,41170320782,NA,NA,NA,0.8,NA,2.69490347,6711121,NA,6,50049,8.01673185,1147.374774,NA,NA,11.734,14.8948,12693.56418,63.70068515,76.11
Lesotho,LSO,52.059,31.87130165,2164464396,5.33576,NA,NA,44.4,NA,0.773100849,2075001,85.62885,5,5559,8.0765782,242.7299997,NA,NA,72.683,91.9832,3169.362463,110.0185058,27.36
Liberia,LBR,62.802,19.8,1669264662,15.09707,NA,NA,41.5,NA,2.529283132,4586788,NA,6,NA,9.61511081,133.1485972,3.080600023,2.304399967,49.746,136.578,1269.886223,67.95610958,7.319106411
Libya,LBY,72.311,71.69437408,24176548392,NA,NA,NA,0.6,NA,1.1440289,6492164,NA,6,NA,NA,NA,NA,NA,20.46,5.8402,14964.52288,117.9894772,20.27215956
